market,airlineAA,airlineDL,airlineUA,airlineAL,airlineLCC,airlineWN,marketdistance,fromcenterdistance,mindistance,changeincmarket,percapitaincmarket,marketsize,wrightamendmDAL,dallasmarket,marketpresenceAA,marketpresenceDL,marketpresenceUA,marketpresenceAL,marketpresenceLCC,marketpresenceWN,mindistancefromhubAA,mindistancefromhubDL,mindistancefromhubUA,mindistancefromhubAL,mindistancefromhubLCC,mindistancefromhubWN
"MIAMOB",0,1,0,0,0,0,.59,1.574305,.2116254,3.2,2.701185,1.431549,0,0,.3185841,.8038782,.1106195,.2079646,.0884956,0,1.80957,.5218188,2.352839,.996549,0,1.33802
"MIAMSY",1,1,0,1,0,0,.674,1.597091,.2116254,5.55,3.00832,2.591007,0,0,.5359754,.670758,.2106195,.3457868,.1711043,.2043478,1.324438,.5137954,2.021219,.8790501,0,.862528
"MIAOAK",1,0,1,1,0,0,2.577,2.733549,.1120481,2.05,3.987333,4.623432,0,0,.5925567,.4418718,.4325373,.256031,.0884956,.3287671,0,0,.0324813,0,0,0
"MIAOKC",1,0,0,1,0,0,1.223,1.443145,.2116254,5.85,3.010542,2.380213,0,0,.6785841,.5785841,.2439528,.2528024,.0884956,.2666667,.058594,.058594,.5456565,.110432,0,.1222041
"MIAOMA",1,1,0,1,0,0,1.393,1.39363,.2116254,4.15,3.223963,1.992426,0,0,.697372,.4170689,.4136498,.3770448,.0884956,.2121212,.1580003,.0164223,.1580003,.1223104,0,.0072632
"MIAORD",1,1,1,1,0,0,1.197,1.383367,.1550676,3,3.359059,6.861581,0,0,.6649894,.5538782,.421077,.3354156,.0884956,0,.0012513,.0040192,.0012513,.0449912,.0012513,.0013546
"MIAORF",0,1,0,1,0,0,.802,1.875691,.2116254,5.1,2.98994,2.849396,0,0,.5185841,.6385841,.1506195,.5079646,.0884956,0,1.385995,.3851495,1.385995,.1725921,.0016111,.3800614
"MIAPDX",1,1,1,1,0,0,2.7,2.739937,.2116254,3.6,3.218474,3.180206,0,0,.5823203,.6097929,.4457843,.3117767,.1318681,.1758242,.0117306,.0117306,0,.0310235,0,.0104787
"MIAPHF",0,0,0,0,1,0,.812,1.857326,.2116254,5.1,2.98994,2.849396,0,0,.3185841,.3185841,.1106195,.2079646,.5884956,0,1.329099,.3584721,1.329099,.1484229,.0023335,.3408908
"MIAPNS",0,1,0,0,0,0,.53,1.610305,.2116254,4.6,2.816171,1.463066,0,0,.3185841,.7371887,.1106195,.4521506,.0884956,0,2.248454,.6373401,2.761985,1.151997,0,1.716954
